"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,2,0,1,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
0,0,0,0,1,2,0,1,1,1,0,0,0,0,0
0,0,0,0,2,0,0,2,2,1,8,5,11,2,21
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,1,1,1,0,0,1
0,0,0,0,1,0,0,0,0,2,0,0,0,0,1
0,0,0,0,2,0,0,0,0,0,1,1,0,0,0
0,0,0,0,1,6,5,4,0,2,0,0,0,0,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,4,1,0,2,4,4,7,0,1
0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,1,0,1,5,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,2,2,0,1,0,0,0
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,8,5,4,14,2,1,1,0,0,1
0,0,0,0,1,1,2,1,0,0,1,3,0,4,1
0,0,0,0,1,13,11,7,0,9,9,9,6,0,1
0,0,0,0,1,0,3,0,0,0,0,0,2,0,1
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0,0,0,0,1,11,4,7,19,17,15,24,11,23
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,1,2,0,0,1,2,0,0,0
0,0,0,0,0,1,12,6,0,1,0,1,0,0,0
0,0,0,0,0,1,0,1,1,1,2,0,0,1,0
0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,0,1,1,2,1,0,0,0
0,0,0,0,0,1,0,0,0,1,2,0,1,1,0
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0,0,0,0,0,2,2,0,0,0,0,1,1,0,0
0,0,0,0,0,1,11,5,11,13,5,11,10,6,4
0,0,0,0,0,1,0,0,1,0,0,1,0,2,1
0,0,0,0,0,3,10,2,3,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,2,0,1,1
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,0,0,0,0,1,1,1,1,2,4,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,2,1,5,5,3,10,4,3,6,0
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
